date,temp_daily_avg
2021-01-01,38.660000000000004
2021-01-02,45.32
2021-01-03,53.96
2021-01-04,56.66
2021-01-05,56.66
2021-01-06,56.48
2021-01-07,46.94
2021-01-08,39.74
2021-01-09,40.46
2021-01-10,34.34
2021-01-11,35.06
2021-01-12,39.02
2021-01-13,47.120000000000005
2021-01-14,52.879999999999995
2021-01-15,46.4
2021-01-16,47.66
2021-01-17,51.44
2021-01-18,56.84
2021-01-19,54.32
2021-01-20,45.14
2021-01-21,55.04
2021-01-22,57.92
2021-01-23,52.7
2021-01-24,62.42
2021-01-25,63.32
2021-01-26,58.64
2021-01-27,49.28
2021-01-28,40.28
2021-01-29,52.34
2021-01-30,64.22
2021-01-31,54.86
2021-02-01,50.0
2021-02-02,52.879999999999995
2021-02-03,58.64
2021-02-04,62.42
2021-02-05,47.48
2021-02-06,53.78
2021-02-07,51.44
2021-02-08,59.18
2021-02-09,49.1
2021-02-10,35.78
2021-02-11,28.4
2021-02-12,25.7
2021-02-13,24.439999999999998
2021-02-14,18.32
2021-02-15,10.579999999999998
2021-02-16,13.100000000000001
2021-02-17,26.78
2021-02-18,24.26
2021-02-19,26.6
2021-02-20,42.620000000000005
2021-02-21,57.56
2021-02-22,58.28
2021-02-23,62.959999999999994
2021-02-24,66.56
2021-02-25,51.08
2021-02-26,49.64
