index,nat_gas,wind,coal,solar,hydro,nuclear,date,time,datetime
0,10908,11961,8327,0,69.0,4973,2021-02-26,23:06,02-26-2021 23:06
1,13560,10401,8505,0,70.0,4972,2021-02-26,22:06,02-26-2021 22:06
2,15438,8834,9037,0,73.0,4972,2021-02-26,21:06,02-26-2021 21:06
3,17189,7276,9413,0,73.0,4972,2021-02-26,20:06,02-26-2021 20:06
4,18438,5802,9582,70,73.0,4971,2021-02-26,19:06,02-26-2021 19:06
5,16959,5911,9599,793,72.0,4972,2021-02-26,18:06,02-26-2021 18:06
6,15990,6524,8651,2133,72.0,4972,2021-02-26,17:06,02-26-2021 17:06
7,15314,7522,7818,2895,73.0,4972,2021-02-26,16:06,02-26-2021 16:06
8,15201,7382,7995,3252,74.0,4972,2021-02-26,15:06,02-26-2021 15:06
9,15490,6600,8455,3577,74.0,4973,2021-02-26,14:06,02-26-2021 14:06
10,15648,6567,8577,3816,74.0,4974,2021-02-26,13:06,02-26-2021 13:06
11,15461,6765,8811,3987,100.0,4975,2021-02-26,12:06,02-26-2021 12:06
12,15620,6530,9051,3888,132.0,4976,2021-02-26,11:06,02-26-2021 11:06
13,16040,5729,9449,3933,70.0,4975,2021-02-26,10:06,02-26-2021 10:06
14,17490,4614,10358,2316,71.0,4976,2021-02-26,09:06,02-26-2021 09:06
15,19201,4077,10602,205,71.0,4977,2021-02-26,08:06,02-26-2021 08:06
16,18974,3071,10589,0,72.0,4976,2021-02-26,07:06,02-26-2021 07:06
17,16347,3156,10283,0,71.0,4976,2021-02-26,06:06,02-26-2021 06:06
18,14140,4042,10110,0,71.0,4975,2021-02-26,05:06,02-26-2021 05:06
19,13237,5139,9355,0,71.0,4975,2021-02-26,04:06,02-26-2021 04:06
20,12927,6061,8839,0,71.0,4974,2021-02-26,03:06,02-26-2021 03:06
21,12847,6311,9082,0,71.0,4975,2021-02-26,02:06,02-26-2021 02:06
22,13089,6450,9608,0,71.0,4976,2021-02-26,01:06,02-26-2021 01:06
23,13082,7666,9818,0,71.0,5000,2021-02-26,00:06,02-26-2021 00:06
24,13876,9538,8978,0,72.0,5083,2021-02-25,23:06,02-25-2021 23:06
25,15501,8583,10325,0,71.0,5128,2021-02-25,22:06,02-25-2021 22:06
26,17021,8303,10553,0,72.0,5125,2021-02-25,21:06,02-25-2021 21:06
27,17103,8824,10519,0,72.0,5123,2021-02-25,20:06,02-25-2021 20:06
28,16526,9451,10430,111,73.0,5124,2021-02-25,19:06,02-25-2021 19:06
29,14949,9460,9477,1416,68.0,5125,2021-02-25,18:06,02-25-2021 18:06
30,14314,9670,8798,1628,68.0,5124,2021-02-25,17:06,02-25-2021 17:06
31,14127,9506,8994,1440,70.0,5124,2021-02-25,16:06,02-25-2021 16:06
32,13964,9466,9047,1497,70.0,5124,2021-02-25,15:06,02-25-2021 15:06
33,13890,9377,9152,1684,71.0,5124,2021-02-25,14:06,02-25-2021 14:06
34,13692,9920,8888,1597,73.0,5124,2021-02-25,13:06,02-25-2021 13:06
35,13524,10240,8635,1525,136.0,5126,2021-02-25,12:06,02-25-2021 12:06
36,13453,10362,8636,1108,159.0,5126,2021-02-25,11:06,02-25-2021 11:06
37,13325,10824,8353,690,97.0,5127,2021-02-25,10:06,02-25-2021 10:06
38,12799,11669,7541,367,96.0,5129,2021-02-25,09:06,02-25-2021 09:06
39,12120,12390,6953,39,96.0,5129,2021-02-25,08:06,02-25-2021 08:06
40,11120,13132,5603,0,95.0,5129,2021-02-25,07:06,02-25-2021 07:06
41,8621,13208,4967,0,69.0,5129,2021-02-25,06:06,02-25-2021 06:06
42,7312,12987,4733,0,69.0,5129,2021-02-25,05:06,02-25-2021 05:06
43,7044,12632,4690,0,70.0,5129,2021-02-25,04:06,02-25-2021 04:06
44,6837,12697,4750,0,70.0,5129,2021-02-25,03:06,02-25-2021 03:06
45,6828,13078,4735,0,71.0,5129,2021-02-25,02:06,02-25-2021 02:06
46,6938,13747,4818,0,96.0,5129,2021-02-25,01:06,02-25-2021 01:06
47,7757,14322,4876,0,70.0,5132,2021-02-25,00:06,02-25-2021 00:06
48,8100,16243,4973,0,70.0,5132,2021-02-24,23:06,02-24-2021 23:06
49,9189,16959,5270,0,69.0,5132,2021-02-24,22:06,02-24-2021 22:06
50,11712,15057,5963,0,70.0,5132,2021-02-24,21:06,02-24-2021 21:06
51,13532,11587,8372,0,71.0,5132,2021-02-24,20:06,02-24-2021 20:06
52,14246,8364,10313,270,71.0,5132,2021-02-24,19:06,02-24-2021 19:06
53,13842,7456,8251,2890,70.0,5132,2021-02-24,18:06,02-24-2021 18:06
54,13407,7158,7017,4774,71.0,5132,2021-02-24,17:06,02-24-2021 17:06
55,12314,7715,7052,4957,71.0,5132,2021-02-24,16:06,02-24-2021 16:06
56,11611,8443,6655,4900,71.0,5132,2021-02-24,15:06,02-24-2021 15:06
57,10670,9773,6101,4748,72.0,5135,2021-02-24,14:06,02-24-2021 14:06
58,9280,11599,5552,4612,73.0,5138,2021-02-24,13:06,02-24-2021 13:06
59,8532,13166,5082,3869,137.0,5137,2021-02-24,12:06,02-24-2021 12:06
60,8431,14630,4800,2296,161.0,5135,2021-02-24,11:06,02-24-2021 11:06
61,8396,15221,4761,1627,93.0,5135,2021-02-24,10:06,02-24-2021 10:06
62,8415,15255,4778,1186,94.0,5136,2021-02-24,09:06,02-24-2021 09:06
63,8326,15994,4759,128,95.0,5135,2021-02-24,08:06,02-24-2021 08:06
64,8449,14745,4743,0,92.0,5135,2021-02-24,07:06,02-24-2021 07:06
65,7892,12307,4763,0,70.0,5135,2021-02-24,06:06,02-24-2021 06:06
66,7129,11510,4705,0,70.0,5135,2021-02-24,05:06,02-24-2021 05:06
67,6935,11041,4653,0,70.0,5135,2021-02-24,04:06,02-24-2021 04:06
68,6999,11022,4639,0,69.0,5136,2021-02-24,03:06,02-24-2021 03:06
69,7075,11359,4626,0,69.0,5137,2021-02-24,02:06,02-24-2021 02:06
70,7194,12190,4645,0,95.0,5137,2021-02-24,01:06,02-24-2021 01:06
71,7519,13832,4537,0,66.0,5137,2021-02-24,00:06,02-24-2021 00:06
72,7664,15735,4698,0,66.0,5136,2021-02-23,23:06,02-23-2021 23:06
73,7693,17867,4790,0,66.0,5136,2021-02-23,22:06,02-23-2021 22:06
74,7749,19384,4858,0,65.0,5136,2021-02-23,21:06,02-23-2021 21:06
75,7936,19887,5023,0,64.0,5136,2021-02-23,20:06,02-23-2021 20:06
76,8247,19272,4672,38,63.0,5136,2021-02-23,19:06,02-23-2021 19:06
77,8043,18281,4583,359,63.0,5136,2021-02-23,18:06,02-23-2021 18:06
78,8008,17774,4587,523,63.0,5136,2021-02-23,17:06,02-23-2021 17:06
79,8010,17305,4551,616,50.0,5136,2021-02-23,16:06,02-23-2021 16:06
80,8264,16530,4600,588,45.0,5135,2021-02-23,15:06,02-23-2021 15:06
81,8561,15761,4608,834,44.0,5133,2021-02-23,14:06,02-23-2021 14:06
82,8862,14128,4723,2012,63.0,5133,2021-02-23,13:06,02-23-2021 13:06
83,9613,11404,5430,3386,153.0,5134,2021-02-23,12:06,02-23-2021 12:06
84,10687,8480,6485,4888,137.0,5133,2021-02-23,11:06,02-23-2021 11:06
85,12675,7166,7183,4846,74.0,5133,2021-02-23,10:06,02-23-2021 10:06
86,14187,9049,7311,2942,74.0,5133,2021-02-23,09:06,02-23-2021 09:06
87,15607,9589,9188,273,74.0,5133,2021-02-23,08:06,02-23-2021 08:06
88,15274,9547,8456,0,69.0,5133,2021-02-23,07:06,02-23-2021 07:06
89,13381,9878,6543,0,48.0,5133,2021-02-23,06:06,02-23-2021 06:06
90,11493,10628,5291,0,48.0,5133,2021-02-23,05:06,02-23-2021 05:06
91,10231,11297,4623,0,48.0,5133,2021-02-23,04:06,02-23-2021 04:06
92,9974,11295,4290,0,48.0,5134,2021-02-23,03:06,02-23-2021 03:06
93,9879,11255,4260,0,48.0,5137,2021-02-23,02:06,02-23-2021 02:06
94,9950,11546,4357,0,73.0,5137,2021-02-23,01:06,02-23-2021 01:06
95,10870,11683,4412,0,45.0,5137,2021-02-23,00:06,02-23-2021 00:06
96,10929,13109,4557,0,45.0,5138,2021-02-22,23:06,02-22-2021 23:06
97,12039,12609,5599,0,44.0,5137,2021-02-22,22:06,02-22-2021 22:06
98,13490,10314,7428,0,44.0,5137,2021-02-22,21:06,02-22-2021 21:06
99,15103,7689,8710,0,44.0,5138,2021-02-22,20:06,02-22-2021 20:06
100,16419,5558,8440,265,44.0,5137,2021-02-22,19:06,02-22-2021 19:06
101,13981,7726,5232,2707,44.0,5138,2021-02-22,18:06,02-22-2021 18:06
102,12487,9740,4106,2980,84.0,5138,2021-02-22,17:06,02-22-2021 17:06
103,12415,10462,3989,2052,77.0,5138,2021-02-22,16:06,02-22-2021 16:06
104,12441,10819,3962,1816,44.0,5138,2021-02-22,15:06,02-22-2021 15:06
105,12470,11118,3925,1790,44.0,5137,2021-02-22,14:06,02-22-2021 14:06
106,12639,10871,3956,2184,62.0,5137,2021-02-22,13:06,02-22-2021 13:06
107,12790,10208,4152,3133,97.0,5137,2021-02-22,12:06,02-22-2021 12:06
108,13038,8551,5214,4418,101.0,5137,2021-02-22,11:06,02-22-2021 11:06
109,14286,7419,6143,4755,115.0,5139,2021-02-22,10:06,02-22-2021 10:06
110,15270,9442,6820,2940,73.0,5141,2021-02-22,09:06,02-22-2021 09:06
111,17912,8957,8520,263,73.0,5141,2021-02-22,08:06,02-22-2021 08:06
112,18049,7295,8560,0,70.0,5141,2021-02-22,07:06,02-22-2021 07:06
113,15568,6046,8491,0,48.0,5141,2021-02-22,06:06,02-22-2021 06:06
114,14141,5192,8090,0,47.0,5140,2021-02-22,05:06,02-22-2021 05:06
115,13865,3761,8283,0,48.0,5140,2021-02-22,04:06,02-22-2021 04:06
116,13877,3014,8222,0,47.0,5140,2021-02-22,03:06,02-22-2021 03:06
117,13901,3139,7915,0,48.0,5139,2021-02-22,02:06,02-22-2021 02:06
118,13799,4016,7809,0,72.0,5139,2021-02-22,01:06,02-22-2021 01:06
119,13503,5655,7348,0,44.0,5139,2021-02-22,00:06,02-22-2021 00:06
120,13324,7139,7369,0,43.0,5138,2021-02-21,23:06,02-21-2021 23:06
121,13490,8108,7649,0,44.0,5140,2021-02-21,22:06,02-21-2021 22:06
122,13673,8857,7407,0,43.0,5141,2021-02-21,21:06,02-21-2021 21:06
123,13877,8716,7594,0,43.0,5141,2021-02-21,20:06,02-21-2021 20:06
124,13484,9017,6259,224,44.0,5141,2021-02-21,19:06,02-21-2021 19:06
125,11514,10079,4456,1172,44.0,5141,2021-02-21,18:06,02-21-2021 18:06
126,11432,9810,4546,670,44.0,5143,2021-02-21,17:06,02-21-2021 17:06
127,11404,9679,4553,683,44.0,5143,2021-02-21,16:06,02-21-2021 16:06
128,11411,10043,4493,551,44.0,5144,2021-02-21,15:06,02-21-2021 15:06
129,11432,10908,4481,423,44.0,5143,2021-02-21,14:06,02-21-2021 14:06
130,11568,11513,4476,626,44.0,5143,2021-02-21,13:06,02-21-2021 13:06
131,11552,12469,4487,825,50.0,5143,2021-02-21,12:06,02-21-2021 12:06
132,11620,12908,4469,1646,73.0,5144,2021-02-21,11:06,02-21-2021 11:06
133,11625,13035,4484,2507,113.0,5144,2021-02-21,10:06,02-21-2021 10:06
134,11794,14218,4518,1679,106.0,5144,2021-02-21,09:06,02-21-2021 09:06
135,11826,15679,4477,79,73.0,5143,2021-02-21,08:06,02-21-2021 08:06
136,11799,15199,4471,0,68.0,5144,2021-02-21,07:06,02-21-2021 07:06
137,11887,14324,4477,0,47.0,5144,2021-02-21,06:06,02-21-2021 06:06
138,11848,13996,4467,0,47.0,5143,2021-02-21,05:06,02-21-2021 05:06
139,11858,13903,4456,0,47.0,5143,2021-02-21,04:06,02-21-2021 04:06
140,11957,14053,4458,0,47.0,5143,2021-02-21,03:06,02-21-2021 03:06
141,11957,14142,4463,0,48.0,5143,2021-02-21,02:06,02-21-2021 02:06
